Sed. Depth from Surface (in),>1 mm (g),0.5 - 1 mm (g),0.25 - 0.5 mm,0.1 - 0.25 mm(g),.063 mm - 0.1 mm (g),<0.063 mm (g)
0,1.687,8.071,23.463,1.894,0.119,0.02
2,0.616,5.204,19.335,1.777,0.109,0.026
4,0.076,7.096,18.935,0.778,0.015,0.001
6,0.027,10.199,21.128,0.598,0.009,0.001
8,0.245,17.293,11.663,0.276,0.006,0.001
10,0.485,15.368,11.869,0.392,0.009,0.001
12,1.784,17.148,14.608,0.696,0.008,0.001
14,8.248,19.723,3.955,0.528,0.002,0.001
15,27.658,3.565,2.088,0.607,0.23,0.003
16,43.273,3.217,2.481,0.792,0.052,0.002
18,46.972,5.118,0.998,0.073,0.002,0.001
20,36.026,6.773,1.756,0.12,0.003,0.001
22,26.456,4.792,6.357,1.119,0.016,0.002
24,51.569,6.74,5.772,0.535,0.015,0.001
26,30.061,7.928,3.064,0.198,0.005,0.001
28,8.774,15.837,3.468,0.244,0.001,0.001
30,0.202,10.116,21.106,1.545,0.006,0.001
32,0.709,14.064,8.85,0.781,0.001,0.001
34,1.743,22.231,9.413,0.361,0.001,0.001
36,10.426,26.37,9.327,0.726,0.004,0.001
