#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 02 01 30 999 99.0 99.0  1.05  4.17  3.73 335 9999.0 999.0   9.4 999.0 99.0 99.00
2020 01 02 02 00 999 99.0 99.0  0.96  4.17  3.66 342 9999.0 999.0   9.4 999.0 99.0 99.00
2020 01 02 02 30 999 99.0 99.0  0.93  3.85  3.63 340 9999.0 999.0   9.3 999.0 99.0 99.00
2020 01 02 03 00 999 99.0 99.0  0.87  3.70  3.62 337 9999.0 999.0   9.3 999.0 99.0 99.00
2020 01 02 03 30 999 99.0 99.0  0.81  3.70  3.60 335 9999.0 999.0   9.3 999.0 99.0 99.00
2020 01 02 04 00 999 99.0 99.0  0.74  9.88  3.75 108 9999.0 999.0   9.3 999.0 99.0 99.00
2020 01 02 04 30 999 99.0 99.0  0.72  3.70  3.68 347 9999.0 999.0   9.3 999.0 99.0 99.00
2020 01 02 05 00 999 99.0 99.0  0.66  9.09  3.82 131 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 02 05 30 999 99.0 99.0  0.63  9.88  3.81  95 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 02 06 00 999 99.0 99.0  0.59  8.33  3.66 161 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 02 06 30 999 99.0 99.0  0.60  6.25  4.02 182 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 07 00 999 99.0 99.0  0.58  8.33  4.28 165 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 07 30 999 99.0 99.0  0.56  6.67  4.24 182 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 08 00 999 99.0 99.0  0.50  9.09  4.22 137 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 08 30 999 99.0 99.0  0.51  9.09  4.26 133 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 09 00 999 99.0 99.0  0.51  6.67  4.18 183 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 02 09 30 999 99.0 99.0  0.52  6.67  3.77 182 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 10 00 999 99.0 99.0  0.55  6.67  3.67 183 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 10 30 999 99.0 99.0  0.56  9.09  3.76 127 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 11 00 999 99.0 99.0  0.59  9.09  3.57 120 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 11 30 999 99.0 99.0  0.61  2.94  3.65 240 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 12 00 999 99.0 99.0  0.64  3.03  3.63 248 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 12 30 999 99.0 99.0  0.62  3.03  3.71 241 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 13 00 999 99.0 99.0  0.61  3.12  3.73 233 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 13 30 999 99.0 99.0  0.59  3.23  3.73 224 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 14 00 999 99.0 99.0  0.57  3.12  3.77 227 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 14 30 999 99.0 99.0  0.58  8.33  3.84 144 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 15 00 999 99.0 99.0  0.58  9.88  3.76 112 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 15 30 999 99.0 99.0  0.54  8.33  3.92 154 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 16 00 999 99.0 99.0  0.56  9.88  3.90 101 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 16 30 999 99.0 99.0  0.59 14.29  3.68 101 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 17 00 999 99.0 99.0  0.64  3.12  3.33 205 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 17 30 999 99.0 99.0  0.75  3.33  3.34 207 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 18 00 999 99.0 99.0  0.80  3.45  3.44 202 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 18 30 999 99.0 99.0  0.81  3.70  3.51 202 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 19 00 999 99.0 99.0  0.84  3.57  3.54 202 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 19 30 999 99.0 99.0  0.86  3.85  3.55 193 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 02 20 00 999 99.0 99.0  0.86  3.85  3.44 189 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 20 30 999 99.0 99.0  0.89  3.85  3.55 196 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 21 00 999 99.0 99.0  0.99  4.00  3.57 195 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 21 30 999 99.0 99.0  0.92  3.85  3.60 195 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 22 00 999 99.0 99.0  0.89  4.00  3.66 196 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 22 30 999 99.0 99.0  0.89  4.17  3.69 198 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 23 00 999 99.0 99.0  0.85  4.00  3.68 203 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 02 23 30 999 99.0 99.0  0.89  4.00  3.71 203 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 00 00 999 99.0 99.0  1.00  4.35  3.85 196 9999.0 999.0   8.9 999.0 99.0 99.00
