#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  1.47  7.69  5.21 168 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  1.57  7.69  5.19 164 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  1.60  7.69  5.21 164 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  1.44  8.33  5.07 168 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  1.62  8.33  5.23 163 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  1.55  8.33  4.88 163 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  1.60  8.33  5.06 164 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 03 56 999 99.0 99.0  1.50  8.33  4.94 164 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  1.49  7.69  4.99 167 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  1.48  7.69  4.93 167 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  1.34  8.33  4.85 168 9999.0 999.0   8.2 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  1.25  8.33  4.84 166 9999.0 999.0   8.3 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  1.22  7.69  4.91 168 9999.0 999.0   8.3 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  1.26  7.69  5.12 166 9999.0 999.0   8.3 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  1.19  7.69  4.70 160 9999.0 999.0   8.3 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  1.21  7.69  4.72 163 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  1.28  8.33  4.81 160 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  1.25  4.17  4.46  19 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  1.36  8.33  4.50 160 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  1.47  7.69  4.70 164 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  1.48  5.56  4.75  56 9999.0 999.0   8.4 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  1.38  7.69  4.66 157 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  1.42  7.69  4.71 156 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  1.35  5.26  4.63  43 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  1.42  5.26  4.72  46 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  1.29  5.26  4.63  45 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  1.25  5.26  4.84  45 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  1.26  7.69  4.82 166 9999.0 999.0   8.5 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  1.13  7.69  4.63 159 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  1.16  5.26  4.68  56 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  1.08  7.69  4.59 171 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  1.00  5.00  4.51  60 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 16 26 999 99.0 99.0  1.00  4.76  4.62  52 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 16 56 999 99.0 99.0  0.99  8.33  4.82 160 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 17 26 999 99.0 99.0  0.93  7.69  4.62 160 9999.0 999.0   8.7 999.0 99.0 99.00
2021 01 01 17 56 999 99.0 99.0  0.96  7.69  4.60 164 9999.0 999.0   8.7 999.0 99.0 99.00
2021 01 01 18 26 999 99.0 99.0  0.92  8.33  4.55 167 9999.0 999.0   8.8 999.0 99.0 99.00
2021 01 01 18 56 999 99.0 99.0  0.89  7.69  4.52 163 9999.0 999.0   8.8 999.0 99.0 99.00
2021 01 01 19 26 999 99.0 99.0  0.89  7.69  4.79 166 9999.0 999.0   8.8 999.0 99.0 99.00
2021 01 01 20 26 999 99.0 99.0  0.87  7.69  4.53 168 9999.0 999.0   8.7 999.0 99.0 99.00
2021 01 01 20 56 999 99.0 99.0  0.88  8.33  4.38 153 9999.0 999.0   8.7 999.0 99.0 99.00
2021 01 01 21 26 999 99.0 99.0  0.87  7.69  4.37 157 9999.0 999.0   8.6 999.0 99.0 99.00
2021 01 01 21 56 999 99.0 99.0  0.94  7.69  4.24 153 9999.0 999.0   8.6 999.0 99.0 99.00
