0,
2.55,
15.32,
71.24,
45.38,
69.55,
127.13,
129.04,
140.17,
148.59,
176.04,
193.34,
227.05,
246.87,
266.85,
217.25,
277.51,
258.8,
311.53,
270.53,
309.34,
316.07,
330.14,
338.26,
388.81,
417.48,
404.38,
412.16,
459.24,
437.3,
465.96,
408.47,
