#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 22 999 99.0 99.0  1.23  9.88  4.89  79 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 00 52 999 99.0 99.0  1.14 10.53  4.71  72 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 01 22 999 99.0 99.0  1.18 10.53  4.56  86 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 02 22 999 99.0 99.0  1.12 10.53  4.63  77 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 02 52 999 99.0 99.0  1.17  9.88  4.82  75 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 03 22 999 99.0 99.0  1.17 10.53  4.62  77 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 03 52 999 99.0 99.0  1.18 10.53  4.56  78 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 04 22 999 99.0 99.0  1.20 11.11  4.36  78 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 04 52 999 99.0 99.0  1.21 10.53  4.26  88 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 05 22 999 99.0 99.0  1.24 10.53  4.29  82 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 06 22 999 99.0 99.0  1.23  4.17  4.18 337 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 06 52 999 99.0 99.0  1.18 10.53  4.32  88 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 07 22 999 99.0 99.0  1.19  4.00  4.12 323 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 07 52 999 99.0 99.0  1.17  4.00  4.14 331 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 08 22 999 99.0 99.0  1.24  4.17  4.16 326 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 08 52 999 99.0 99.0  1.21 11.11  4.18  78 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 09 22 999 99.0 99.0  1.24  4.17  4.01 328 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 10 22 999 99.0 99.0  1.20  9.88  4.14  77 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 10 52 999 99.0 99.0  1.16 10.53  4.10  82 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 11 22 999 99.0 99.0  1.16  4.00  3.98 320 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 11 52 999 99.0 99.0  1.31  4.17  4.14 317 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 12 22 999 99.0 99.0  1.28  4.17  4.17 318 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 12 52 999 99.0 99.0  1.19  4.17  4.16 313 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 13 22 999 99.0 99.0  1.18 10.53  4.35  79 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 14 22 999 99.0 99.0  1.16  4.00  4.09 318 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 14 52 999 99.0 99.0  1.12  4.00  4.10 318 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 15 22 999 99.0 99.0  1.14  4.00  4.04 306 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 15 52 999 99.0 99.0  1.13  4.00  4.15 306 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 16 22 999 99.0 99.0  1.06  3.85  4.11 303 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 16 52 999 99.0 99.0  0.93  3.70  4.10 307 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 17 22 999 99.0 99.0  0.93  3.70  3.90 302 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 18 22 999 99.0 99.0  0.91  9.88  4.02  81 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 18 52 999 99.0 99.0  0.99  9.88  4.00  82 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 19 22 999 99.0 99.0  0.98  3.57  3.73 292 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 19 52 999 99.0 99.0  1.10  3.70  3.79 289 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 20 22 999 99.0 99.0  1.07  3.85  3.87 288 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 20 52 999 99.0 99.0  1.08  3.85  3.70 289 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 21 22 999 99.0 99.0  1.28  3.85  3.79 297 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 22 22 999 99.0 99.0  1.27  4.55  3.97 309 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 01 22 52 999 99.0 99.0  1.19  4.17  3.92 299 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 01 23 22 999 99.0 99.0  1.16  4.35  3.81 311 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 01 23 52 999 99.0 99.0  1.21  4.00  3.83 300 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 00 52 999 99.0 99.0  1.12  4.17  3.85 309 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 01 22 999 99.0 99.0  1.10  4.17  3.73 314 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 02 22 999 99.0 99.0  1.21  4.17  3.91 304 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 02 52 999 99.0 99.0  1.29  4.17  3.88 286 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 03 22 999 99.0 99.0  1.36  4.35  3.96 293 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 03 52 999 99.0 99.0  1.35  4.35  3.98 297 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 04 52 999 99.0 99.0  1.16  4.35  3.79 299 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 05 22 999 99.0 99.0  1.08  4.17  3.68 293 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 06 22 999 99.0 99.0  1.16  4.00  3.60 306 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 06 52 999 99.0 99.0  1.18  3.85  3.70 300 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 07 22 999 99.0 99.0  1.23  4.35  3.71 309 9999.0 999.0  11.8 999.0 99.0 99.00
2016 01 02 07 52 999 99.0 99.0  1.23  4.17  3.64 296 9999.0 999.0  11.8 999.0 99.0 99.00
2016 01 02 08 52 999 99.0 99.0  1.24  4.17  3.67 299 9999.0 999.0  11.8 999.0 99.0 99.00
