#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 26 999 99.0 99.0  0.67 13.33  6.54  92 9999.0 999.0  10.5 999.0 99.0 99.00
2022 01 01 00 56 999 99.0 99.0  0.70  9.88  6.81 102 9999.0 999.0  10.5 999.0 99.0 99.00
2022 01 01 01 26 999 99.0 99.0  0.69 12.50  6.77  98 9999.0 999.0  10.4 999.0 99.0 99.00
2022 01 01 01 56 999 99.0 99.0  0.66 11.11  6.87 102 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 01 02 26 999 99.0 99.0  0.69 12.50  7.38 101 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 01 02 56 999 99.0 99.0  0.69 12.50  6.99  97 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 01 03 26 999 99.0 99.0  0.70 12.50  7.24 100 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 01 03 56 999 99.0 99.0  0.67 11.11  6.92 102 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 01 04 26 999 99.0 99.0  0.70 10.53  6.74 101 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 01 04 56 999 99.0 99.0  0.68 10.53  6.39 104 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 05 26 999 99.0 99.0  0.65 10.53  6.35  97 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 05 56 999 99.0 99.0  0.66 11.11  6.49  98 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 06 26 999 99.0 99.0  0.73 12.50  6.59 108 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 06 56 999 99.0 99.0  0.71 11.76  5.72 109 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 07 26 999 99.0 99.0  0.72 11.11  5.74  95 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 07 56 999 99.0 99.0  0.74 11.11  5.50  97 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 08 26 999 99.0 99.0  0.79 11.76  5.33 100 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 08 56 999 99.0 99.0  0.83 12.50  5.30 100 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 09 26 999 99.0 99.0  0.81 10.53  5.44  95 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 09 56 999 99.0 99.0  0.76 12.50  5.51  91 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 10 26 999 99.0 99.0  0.79 11.76  5.32  91 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 10 56 999 99.0 99.0  0.79 12.50  5.16  98 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 01 11 26 999 99.0 99.0  0.75 13.33  5.34  87 9999.0 999.0   9.9 999.0 99.0 99.00
2022 01 01 11 56 999 99.0 99.0  0.77 12.50  5.46 101 9999.0 999.0   9.9 999.0 99.0 99.00
2022 01 01 12 26 999 99.0 99.0  0.78 12.50  5.68  95 9999.0 999.0   9.9 999.0 99.0 99.00
