#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 09 21 21 999 99.0 99.0  4.02 11.11  7.20  93 9999.0 999.0  11.3 999.0 99.0 99.00
2014 12 09 21 51 999 99.0 99.0  3.69 10.53  7.07  91 9999.0 999.0  11.3 999.0 99.0 99.00
2014 12 09 22 21 999 99.0 99.0  3.59 11.76  7.25  95 9999.0 999.0  11.3 999.0 99.0 99.00
2014 12 09 22 51 999 99.0 99.0  3.52 10.53  7.03  85 9999.0 999.0  11.3 999.0 99.0 99.00
2014 12 09 23 21 999 99.0 99.0  3.65 11.11  7.33  91 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 09 23 51 999 99.0 99.0  3.25 11.76  6.96 102 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 00 21 999 99.0 99.0  3.08 11.11  6.87  88 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 00 51 999 99.0 99.0  2.93 11.76  6.69  99 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 01 21 999 99.0 99.0  3.10 11.76  7.06 106 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 01 51 999 99.0 99.0  2.94 12.50  6.94  98 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 02 21 999 99.0 99.0  2.96 12.50  7.16 106 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 02 51 999 99.0 99.0  2.68 11.76  6.72  88 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 03 21 999 99.0 99.0  2.71 12.50  7.11  99 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 03 51 999 99.0 99.0  2.68 12.50  7.17  98 9999.0 999.0  11.2 999.0 99.0 99.00
2014 12 10 04 21 999 99.0 99.0  2.61 12.50  7.20 101 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 04 51 999 99.0 99.0  2.44 11.11  6.58  95 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 05 21 999 99.0 99.0  2.53 12.50  6.99 106 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 05 51 999 99.0 99.0  2.39 13.33  6.62  96 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 06 21 999 99.0 99.0  2.55 11.76  6.72 101 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 06 51 999 99.0 99.0  2.40 11.76  6.59  98 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 07 21 999 99.0 99.0  2.48 12.50  6.93 102 9999.0 999.0  11.1 999.0 99.0 99.00
2014 12 10 07 51 999 99.0 99.0  2.26 10.53  6.44  99 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 08 21 999 99.0 99.0  2.40 13.33  6.86  92 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 08 51 999 99.0 99.0  2.38 12.50  7.16  96 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 09 21 999 99.0 99.0  2.41 12.50  7.11  98 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 09 51 999 99.0 99.0  2.24 12.50  6.81  85 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 10 21 999 99.0 99.0  2.38 11.11  7.04  92 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 10 51 999 99.0 99.0  2.26 11.76  6.76 101 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 11 21 999 99.0 99.0  2.45 12.50  7.42  91 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 11 51 999 99.0 99.0  2.44 11.76  6.94  96 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 12 21 999 99.0 99.0  2.26 11.76  6.53  92 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 12 51 999 99.0 99.0  2.15 13.33  6.29  93 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 13 21 999 99.0 99.0  2.22 11.11  6.47  96 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 13 51 999 99.0 99.0  2.19 12.50  6.30  93 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 14 21 999 99.0 99.0  2.29 12.50  6.84  98 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 14 51 999 99.0 99.0  2.05 11.76  5.80  91 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 15 21 999 99.0 99.0  2.19 13.33  6.00  95 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 15 51 999 99.0 99.0  2.16 13.33  5.86 105 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 16 21 999 99.0 99.0  2.02 13.33  5.67  86 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 16 51 999 99.0 99.0  2.05 12.50  5.82  91 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 17 21 999 99.0 99.0  2.02 12.50  5.65  96 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 17 51 999 99.0 99.0  2.03 13.33  5.64  91 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 18 21 999 99.0 99.0  1.94 13.33  5.64  95 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 18 51 999 99.0 99.0  2.00 11.76  5.72  91 9999.0 999.0  11.0 999.0 99.0 99.00
2014 12 10 19 21 999 99.0 99.0  1.90 12.50  5.36  92 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 19 51 999 99.0 99.0  2.16 13.33  5.77  89 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 20 21 999 99.0 99.0  2.08 12.50  5.47  95 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 20 51 999 99.0 99.0  2.15  5.00  5.28 338 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 21 21 999 99.0 99.0  2.10 11.76  5.53  88 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 21 51 999 99.0 99.0  2.19 12.50  5.54  92 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 22 21 999 99.0 99.0  2.12 12.50  5.42  89 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 22 51 999 99.0 99.0  2.19 12.50  5.45  89 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 23 21 999 99.0 99.0  2.19 12.50  5.51  99 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 10 23 51 999 99.0 99.0  2.28  5.26  5.62 323 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 11 00 21 999 99.0 99.0  2.27 11.11  5.54  93 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 00 51 999 99.0 99.0  2.03  5.26  5.34 318 9999.0 999.0  10.9 999.0 99.0 99.00
2014 12 11 01 21 999 99.0 99.0  2.20  5.00  5.08 311 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 01 51 999 99.0 99.0  2.17  5.00  5.13 314 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 02 21 999 99.0 99.0  2.22 13.33  5.31  88 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 02 51 999 99.0 99.0  2.08  5.26  4.97 302 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 03 21 999 99.0 99.0  2.15  5.26  5.29 303 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 03 51 999 99.0 99.0  2.15  5.26  5.12 289 9999.0 999.0  10.8 999.0 99.0 99.00
2014 12 11 04 21 999 99.0 99.0  2.11  5.00  4.99 288 9999.0 999.0  10.7 999.0 99.0 99.00
2014 12 11 04 51 999 99.0 99.0  2.10  5.00  5.00 289 9999.0 999.0  10.7 999.0 99.0 99.00
2014 12 11 05 21 999 99.0 99.0  1.95  5.00  4.92 288 9999.0 999.0  10.7 999.0 99.0 99.00
2014 12 11 05 51 999 99.0 99.0  1.87  4.76  4.92 283 9999.0 999.0  10.7 999.0 99.0 99.00
2014 12 11 06 21 999 99.0 99.0  1.73  5.00  4.76 285 9999.0 999.0  10.7 999.0 99.0 99.00
2014 12 11 06 51 999 99.0 99.0  1.77  4.55  4.61 276 9999.0 999.0  10.6 999.0 99.0 99.00
2014 12 11 07 21 999 99.0 99.0  1.86  4.76  4.74 271 9999.0 999.0  10.6 999.0 99.0 99.00
2014 12 11 07 51 999 99.0 99.0  1.88  4.76  4.77 262 9999.0 999.0  10.6 999.0 99.0 99.00
2014 12 11 08 21 999 99.0 99.0  1.85 12.50  4.73  88 9999.0 999.0  10.6 999.0 99.0 99.00
2014 12 11 08 51 999 99.0 99.0  1.95  4.76  4.85 258 9999.0 999.0  10.6 999.0 99.0 99.00
2014 12 11 09 21 999 99.0 99.0  1.80  5.26  4.73 255 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 09 51 999 99.0 99.0  1.79  4.76  4.77 273 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 10 21 999 99.0 99.0  1.79  4.76  4.71 257 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 10 51 999 99.0 99.0  1.75 12.50  4.64  91 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 11 21 999 99.0 99.0  1.65 11.76  4.62 110 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 11 51 999 99.0 99.0  1.65 12.50  4.72 102 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 12 21 999 99.0 99.0  1.62  4.55  4.61 244 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 12 51 999 99.0 99.0  1.61 12.50  4.71  93 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 13 21 999 99.0 99.0  1.59 12.50  4.60 113 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 13 51 999 99.0 99.0  1.54  5.26  4.50 220 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 14 21 999 99.0 99.0  1.58 12.50  4.48  96 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 14 51 999 99.0 99.0  1.56 11.76  4.48 106 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 15 21 999 99.0 99.0  1.44 12.50  4.31  98 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 15 51 999 99.0 99.0  1.37 11.76  4.42 108 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 16 21 999 99.0 99.0  1.36 12.50  4.48  89 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 16 51 999 99.0 99.0  1.33 12.50  4.41 109 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 17 21 999 99.0 99.0  1.36 12.50  4.51  95 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 17 51 999 99.0 99.0  1.36 13.33  4.47  89 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 18 21 999 99.0 99.0  1.37 13.33  4.48 109 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 18 51 999 99.0 99.0  1.48 11.76  4.50 126 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 19 21 999 99.0 99.0  1.64 12.50  4.55 115 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 19 51 999 99.0 99.0  1.53  5.26  4.45 217 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 20 21 999 99.0 99.0  1.63  5.00  4.53 219 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 20 51 999 99.0 99.0  1.60 11.76  4.55 106 9999.0 999.0  10.5 999.0 99.0 99.00
2014 12 11 21 21 999 99.0 99.0  1.64  5.26  4.52 219 9999.0 999.0  10.4 999.0 99.0 99.00
2014 12 11 21 51 999 99.0 99.0  1.71 11.76  4.66 103 9999.0 999.0  10.4 999.0 99.0 99.00
